Rank,Name,Count,White,Black,API,AIAN,Two or More Races,Hispanic
340,CARRILLO,91129,5.13%,0.24%,0.68%,0.36%,0.24%,93.33%
341,SUTTON,90964,72.77%,21.70%,0.48%,0.68%,2.24%,2.13%
342,FLEMING,90677,71.71%,22.76%,0.62%,0.52%,2.21%,2.19%
343,RHODES,90670,74.76%,20.04%,0.48%,0.62%,1.92%,2.17%
344,SHELTON,90517,73.49%,20.64%,0.47%,0.67%,2.50%,2.23%
345,SCHWARTZ,90071,95.93%,0.44%,0.57%,0.21%,0.96%,1.89%
346,NORRIS,89796,79.88%,14.41%,0.52%,0.94%,2.04%,2.20%
347,JENNINGS,89700,70.87%,23.06%,0.70%,0.66%,2.25%,2.45%
348,WATTS,89649,68.62%,25.52%,0.48%,0.77%,2.35%,2.26%
349,DURAN,89401,9.93%,0.54%,1.23%,0.78%,0.41%,87.11%
350,WALTERS,89376,82.92%,11.29%,0.65%,0.82%,1.69%,2.63%
351,COHEN,89091,88.89%,5.97%,0.66%,0.11%,1.08%,3.29%
352,MCDANIEL,88728,76.18%,18.35%,0.43%,0.64%,2.05%,2.35%
353,MORAN,88615,64.14%,2.43%,0.70%,0.79%,1.13%,30.81%
354,PARKS,88586,69.39%,24.91%,0.59%,0.67%,2.38%,2.06%
355,STEELE,88230,78.25%,15.60%,0.53%,1.15%,2.02%,2.43%
356,VAUGHN,88060,71.52%,22.67%,0.44%,0.75%,2.34%,2.27%
357,BECKER,87859,94.89%,0.52%,0.66%,0.34%,1.26%,2.33%
358,HOLT,87531,79.38%,14.85%,0.57%,0.87%,2.24%,2.10%
359,DELEON,87414,6.64%,1.04%,8.31%,0.21%,0.74%,83.06%
360,BARKER,87162,86.48%,7.83%,0.68%,0.65%,1.92%,2.44%
361,TERRY,87000,66.28%,27.34%,0.56%,0.70%,2.44%,2.68%
362,HALE,86618,82.23%,11.41%,0.54%,1.19%,2.21%,2.42%
363,LEON,86363,9.99%,2.95%,1.04%,0.37%,0.44%,85.21%
364,HAIL,86240,73.14%,21.60%,0.37%,0.53%,2.09%,2.27%
365,BENSON,86081,77.85%,16.24%,0.79%,0.77%,1.95%,2.41%
366,HAYNES,85974,61.08%,33.19%,0.42%,0.58%,2.25%,2.47%
367,HORTON,85195,69.99%,24.30%,0.52%,0.69%,2.27%,2.23%
368,MILES,84942,61.33%,32.35%,0.49%,0.78%,2.61%,2.44%
369,LYONS,84516,74.88%,19.17%,0.50%,1.01%,2.10%,2.34%
370,PHAM,84320,0.90%,0.20%,96.33%,0.03%,1.81%,0.72%
371,GRAVES,84179,69.64%,24.19%,0.48%,0.71%,2.38%,2.60%
372,BUSH,84018,71.73%,22.44%,0.57%,0.82%,2.15%,2.29%
373,THORNTON,83967,67.42%,27.08%,0.46%,0.62%,2.34%,2.06%
374,WOLFE,83928,90.77%,3.60%,0.52%,1.37%,1.66%,2.09%
375,WARNER,83781,84.22%,10.24%,0.65%,0.61%,1.87%,2.41%
376,CABRERA,83621,4.47%,0.41%,3.52%,0.12%,0.45%,91.02%
377,MCKINNEY,83616,68.84%,25.18%,0.40%,0.88%,2.37%,2.34%
378,MANN,83510,80.39%,9.90%,3.61%,1.32%,2.12%,2.66%
379,ZIMMERMAN,83265,93.84%,2.32%,0.52%,0.30%,1.18%,1.85%
380,DAWSON,83182,68.30%,25.88%,0.64%,0.57%,2.29%,2.33%
381,LARA,83067,5.67%,0.37%,1.14%,0.30%,0.24%,92.28%
382,FLETCHER,83063,72.86%,20.92%,0.58%,0.74%,2.30%,2.60%
383,PAGE,82992,75.12%,18.93%,0.66%,0.65%,2.02%,2.62%
384,MCCARTHY,82950,92.29%,3.25%,0.68%,0.27%,1.27%,2.24%
385,LOVE,82873,56.49%,37.03%,0.54%,0.51%,2.90%,2.53%
386,ROBLES,82458,5.07%,0.43%,2.05%,0.36%,0.30%,91.78%
387,CERVANTES,82161,3.31%,0.16%,0.91%,0.18%,0.14%,95.31%
388,SOLIS,82146,5.14%,0.40%,1.61%,0.18%,0.24%,92.43%
389,ERICKSON,82085,95.05%,0.37%,0.65%,0.57%,1.44%,1.92%
390,REEVES,81978,77.31%,16.52%,0.57%,0.77%,2.12%,2.71%
391,CHANG,81939,2.37%,0.87%,88.84%,0.03%,4.18%,3.71%
392,KLEIN,81471,95.41%,0.32%,0.60%,0.23%,1.13%,2.30%
393,SALINAS,81156,5.55%,0.25%,0.90%,0.19%,0.23%,92.88%
394,FUENTES,81006,4.56%,0.41%,1.31%,0.19%,0.29%,93.24%
395,BALDWIN,80742,76.87%,17.25%,0.52%,0.93%,1.99%,2.43%
396,DANIEL,80526,62.84%,25.56%,3.16%,0.69%,2.15%,5.59%
397,SIMON,80460,65.09%,22.51%,2.75%,0.67%,1.93%,7.06%
398,VELASQUEZ,80364,4.75%,0.66%,1.71%,0.43%,0.24%,92.22%
399,HARDY,80252,61.47%,32.34%,0.50%,1.20%,2.27%,2.22%
400,HIGGINS,79803,83.91%,10.77%,0.56%,0.56%,1.90%,2.30%
401,AGUIRRE,79517,5.10%,0.25%,1.25%,0.20%,0.25%,92.94%
402,LIN,79508,1.70%,0.18%,95.85%,0.02%,1.77%,0.47%
403,CUMMINGS,79316,72.52%,19.66%,0.72%,2.33%,2.32%,2.45%
404,CHANDLER,79186,74.49%,19.63%,0.60%,0.68%,2.20%,2.40%
405,SHARP,78990,83.57%,10.56%,0.59%,1.02%,1.94%,2.33%
406,BARBER,78848,75.48%,18.38%,0.64%,1.02%,2.08%,2.39%
407,BOWEN,78822,82.08%,11.96%,0.55%,0.68%,2.01%,2.71%
408,OCHOA,78677,4.53%,0.29%,0.54%,0.36%,0.18%,94.09%
409,DENNIS,78482,65.60%,27.84%,0.60%,0.79%,2.29%,2.88%
410,ROBBINS,78381,87.57%,7.24%,0.49%,0.91%,1.72%,2.06%
411,LIU,78370,1.79%,0.17%,95.62%,0.02%,1.86%,0.54%
412,RAMSEY,78350,77.84%,16.51%,0.46%,0.70%,2.02%,2.46%
413,FRANCIS,78327,59.48%,30.30%,2.00%,2.07%,2.37%,3.78%
414,GRIFFITH,78260,83.93%,10.40%,0.55%,0.67%,1.88%,2.56%
415,PAUL,78256,66.99%,20.13%,6.25%,2.05%,1.92%,2.67%
416,BLAIR,78026,79.40%,14.67%,0.55%,0.67%,2.18%,2.53%
417,OCONNOR,77923,92.81%,2.12%,0.75%,0.33%,1.37%,2.61%
418,CARDENAS,77652,4.59%,0.28%,1.02%,0.20%,0.21%,93.70%
419,PACHECO,77642,15.32%,0.57%,1.16%,0.72%,0.81%,81.43%
420,CROSS,77557,75.47%,18.28%,0.57%,0.91%,2.25%,2.52%
421,CALDERON,77085,4.95%,0.56%,1.53%,0.16%,0.25%,92.55%
422,QUINN,76986,86.23%,8.34%,0.69%,0.47%,1.63%,2.64%
423,MOSS,76908,69.73%,24.71%,0.48%,0.68%,2.12%,2.28%
424,SWANSON,76897,90.41%,4.80%,0.70%,0.46%,1.53%,2.10%
425,CHAN,76664,2.75%,0.75%,89.32%,0.05%,2.54%,4.58%
426,RIVAS,76205,4.88%,0.59%,0.41%,0.28%,0.17%,93.67%
427,KHAN,76171,6.89%,3.86%,81.25%,0.54%,5.27%,2.20%
428,RODGERS,76095,70.15%,23.84%,0.46%,0.64%,2.22%,2.69%
429,SERRANO,75996,5.62%,0.70%,2.90%,0.13%,0.31%,90.34%
430,FITZGERALD,75356,86.32%,8.82%,0.67%,0.31%,1.65%,2.22%
431,ROSALES,75185,3.63%,0.30%,2.39%,0.21%,0.26%,93.21%
432,STEVENSON,75169,63.44%,30.19%,0.63%,0.54%,2.50%,2.70%
433,CHRISTENSEN,75143,94.42%,0.36%,0.73%,0.60%,1.51%,2.38%
434,MANNING,74949,73.90%,20.34%,0.56%,0.81%,2.03%,2.36%
435,GILL,74948,65.23%,13.96%,13.43%,0.59%,2.06%,4.74%
436,CURRY,74919,59.18%,34.93%,0.49%,0.47%,2.41%,2.52%
437,MCLAUGHLIN,74816,87.99%,7.08%,0.58%,0.53%,1.44%,2.38%
438,HARMON,74737,77.26%,17.02%,0.53%,0.73%,2.12%,2.34%
439,MCGEE,74542,62.25%,31.53%,0.45%,0.73%,2.72%,2.32%
440,GROSS,74503,84.87%,10.34%,0.52%,0.34%,1.48%,2.45%
441,DOYLE,74458,89.12%,5.66%,0.66%,0.49%,1.68%,2.39%
442,GARNER,74324,71.71%,22.82%,0.48%,0.54%,2.11%,2.34%
443,NEWTON,74092,75.66%,18.42%,0.62%,0.68%,2.05%,2.56%
444,BURGESS,73931,75.35%,18.67%,0.63%,0.95%,2.21%,2.17%
445,REESE,73919,66.05%,28.24%,0.44%,0.58%,2.07%,2.62%
446,WALTON,73854,60.37%,34.20%,0.40%,0.51%,2.39%,2.13%
447,BLAKE,73797,71.21%,22.58%,0.56%,0.84%,2.14%,2.68%
448,TRUJILLO,73664,8.39%,0.21%,0.29%,1.63%,0.35%,89.14%
449,ADKINS,73599,87.20%,8.02%,0.38%,0.84%,1.83%,1.72%
450,BRADY,73145,87.28%,6.89%,0.56%,0.96%,1.65%,2.66%
451,GOODMAN,73136,78.33%,15.83%,0.57%,1.00%,1.84%,2.43%
452,ROMAN,72918,20.79%,1.86%,0.97%,0.20%,0.51%,75.67%
453,WEBSTER,72625,73.50%,19.75%,0.62%,1.38%,2.25%,2.51%
454,GOODWIN,72451,77.04%,17.22%,0.50%,0.86%,2.08%,2.30%
455,FISCHER,72357,94.34%,0.87%,0.61%,0.40%,1.22%,2.56%
456,HUANG,72328,0.90%,0.11%,97.14%,0.02%,1.42%,0.40%
457,POTTER,72175,89.07%,5.13%,0.56%,0.78%,1.96%,2.50%
458,DELACRUZ,72109,3.86%,0.40%,16.77%,0.19%,1.54%,77.24%
459,MONTOYA,71844,8.65%,0.26%,0.87%,1.40%,0.38%,88.44%
460,TODD,71759,80.77%,13.58%,0.51%,0.68%,2.11%,2.34%
461,WU,71721,1.37%,0.18%,96.37%,0.02%,1.59%,0.48%
462,HINES,71717,57.72%,36.73%,0.49%,0.49%,2.31%,2.25%
463,MULLINS,71646,88.75%,6.86%,0.36%,0.52%,1.78%,1.74%
464,CASTANEDA,71368,4.11%,0.22%,1.79%,0.20%,0.25%,93.42%
465,MALONE,71286,67.31%,26.77%,0.56%,0.71%,2.19%,2.46%
466,CANNON,71085,69.78%,24.50%,0.50%,0.54%,2.26%,2.42%
467,TATE,71058,55.59%,38.34%,0.61%,0.84%,2.50%,2.12%
468,MACK,71056,44.76%,49.06%,0.70%,0.53%,2.59%,2.37%
469,SHERMAN,70502,82.74%,11.57%,0.63%,0.98%,1.75%,2.33%
470,HUBBARD,70362,71.05%,23.15%,0.45%,0.90%,2.30%,2.15%
471,HODGES,70223,73.41%,20.90%,0.48%,0.56%,2.08%,2.57%
472,ZHANG,70125,0.99%,0.16%,98.06%,0.02%,0.62%,0.15%
473,GUERRA,70071,11.26%,0.80%,0.58%,0.50%,0.28%,86.59%
474,WOLF,70031,93.67%,1.07%,0.61%,1.05%,1.46%,2.16%
475,VALENCIA,70000,5.32%,0.50%,3.28%,1.21%,0.46%,89.23%
476,SAUNDERS,69943,67.39%,26.12%,0.57%,0.72%,2.57%,2.62%
476,FRANCO,69943,15.82%,0.63%,1.74%,0.32%,0.50%,81.00%
478,ROWE,69879,79.26%,15.06%,0.64%,0.57%,2.00%,2.47%
479,GALLAGHER,69834,94.62%,0.69%,0.64%,0.30%,1.26%,2.50%
480,FARMER,69617,77.16%,17.45%,0.47%,1.05%,1.82%,2.07%
481,HAMMOND,69515,78.23%,16.09%,0.64%,0.69%,2.16%,2.19%
482,HAMPTON,69472,53.70%,40.30%,0.40%,0.72%,2.67%,2.21%
483,TOWNSEND,69360,67.70%,26.42%,0.47%,0.79%,2.25%,2.38%
484,INGRAM,69345,61.45%,32.98%,0.36%,0.54%,2.25%,2.42%
485,WISE,68649,78.63%,15.55%,0.58%,0.71%,2.14%,2.38%
486,GALLEGOS,68373,7.66%,0.19%,0.47%,0.49%,0.29%,90.89%
487,CLARKE,68281,61.02%,32.10%,0.63%,0.38%,2.32%,3.56%
488,BARTON,68233,85.11%,7.96%,0.59%,1.31%,1.91%,3.12%
489,SCHROEDER,67977,95.36%,0.32%,0.59%,0.49%,1.13%,2.11%
490,MAXWELL,67961,73.22%,20.63%,0.61%,0.64%,2.16%,2.74%
491,WATERS,67929,73.39%,20.68%,0.56%,0.85%,2.13%,2.39%
492,LOGAN,67909,64.80%,27.30%,0.71%,1.08%,2.89%,3.21%
493,CAMACHO,67893,6.09%,0.57%,2.90%,0.16%,0.71%,89.56%
494,STRICKLAND,67769,76.23%,17.16%,0.46%,2.15%,2.04%,1.97%
495,NORMAN,67704,68.97%,25.07%,0.63%,0.63%,2.25%,2.44%
496,PERSON,67411,45.58%,34.51%,4.14%,1.12%,1.78%,12.88%
497,COLON,67338,7.58%,1.89%,0.31%,0.14%,0.33%,89.75%
498,PARSONS,67310,91.09%,3.60%,0.60%,0.67%,1.75%,2.27%
499,FRANK,67304,84.54%,7.96%,0.99%,2.23%,1.60%,2.68%
500,HARRINGTON,66959,82.01%,12.38%,0.72%,0.64%,1.84%,2.41%
501,GLOVER,66858,52.58%,41.73%,0.51%,0.48%,2.45%,2.24%
502,OSBORNE,66827,82.28%,12.39%,0.50%,0.65%,1.97%,2.22%
503,BUCHANAN,66648,77.40%,17.00%,0.59%,0.57%,2.01%,2.43%
504,CASEY,66556,86.89%,7.47%,0.66%,0.70%,1.88%,2.41%
505,FLOYD,66454,65.41%,29.21%,0.41%,0.68%,2.30%,2.00%
506,PATTON,66293,73.05%,20.90%,0.49%,0.88%,2.25%,2.44%
507,IBARRA,66063,2.95%,0.15%,1.24%,0.12%,0.23%,95.32%
508,BALL,66059,82.32%,12.00%,0.96%,0.58%,1.78%,2.35%
509,TYLER,66056,61.96%,30.99%,0.54%,1.35%,2.70%,2.46%
510,SUAREZ,66013,6.79%,0.57%,2.11%,0.14%,0.27%,90.12%
511,BOWERS,66003,83.40%,11.53%,0.47%,0.60%,1.73%,2.27%
512,OROZCO,65904,3.40%,0.17%,0.39%,0.15%,0.12%,95.76%
513,SALAS,65468,6.46%,0.38%,2.05%,0.31%,0.58%,90.22%
514,COBB,65125,69.98%,24.79%,0.44%,0.64%,2.13%,2.02%
515,GIBBS,65064,65.85%,28.29%,0.49%,0.69%,2.25%,2.42%
516,ANDRADE,65037,15.43%,3.24%,1.62%,0.26%,1.26%,78.19%
517,BAUER,65004,95.10%,0.39%,0.59%,0.38%,1.17%,2.38%
518,CONNER,64572,78.57%,16.17%,0.47%,0.57%,2.02%,2.20%
519,MOODY,64429,71.27%,22.86%,0.44%,0.76%,1.95%,2.71%
520,ESCOBAR,64403,5.17%,0.41%,1.55%,0.18%,0.26%,92.44%
521,MCGUIRE,64327,88.00%,6.33%,0.65%,0.56%,1.86%,2.61%
522,LLOYD,64202,72.59%,22.11%,0.55%,0.44%,2.03%,2.29%
523,MUELLER,64191,95.66%,0.31%,0.64%,0.24%,1.14%,2.02%
524,HARTMAN,64106,93.86%,1.62%,0.65%,0.45%,1.29%,2.13%
525,FRENCH,63991,85.75%,8.10%,0.66%,1.11%,1.92%,2.45%
526,KRAMER,63936,95.35%,0.34%,0.61%,0.25%,1.24%,2.21%
527,MCBRIDE,63899,74.28%,19.88%,0.44%,0.80%,2.02%,2.57%
528,POPE,63881,70.83%,23.77%,0.47%,0.61%,2.13%,2.19%
529,LINDSEY,63760,67.78%,25.72%,0.79%,0.68%,2.73%,2.31%
530,VELAZQUEZ,63736,3.26%,0.44%,0.12%,0.12%,0.11%,95.95%
531,NORTON,63722,87.84%,6.55%,0.55%,1.19%,1.75%,2.12%
532,MCCORMICK,63649,87.33%,7.59%,0.57%,0.42%,1.61%,2.48%
533,SPARKS,63440,84.22%,10.43%,0.42%,0.74%,1.99%,2.21%
534,FLYNN,63400,91.91%,3.07%,0.66%,0.60%,1.50%,2.26%
535,YATES,63254,80.58%,14.07%,0.49%,0.54%,2.07%,2.25%
536,HOGAN,63085,80.12%,14.44%,0.53%,0.61%,1.84%,2.46%
537,MARSH,62304,82.74%,12.04%,0.54%,0.57%,1.90%,2.22%
538,MACIAS,62227,4.92%,0.17%,0.40%,0.21%,0.16%,94.14%
539,VILLANUEVA,61883,4.25%,0.43%,12.29%,0.26%,1.01%,81.77%
540,ZAMORA,61729,5.38%,0.31%,2.52%,0.26%,0.33%,91.21%
541,PRATT,61671,78.04%,15.69%,0.62%,1.00%,2.02%,2.63%
542,STOKES,61639,58.27%,36.00%,0.36%,0.45%,2.39%,2.52%
543,OWEN,61630,91.78%,2.37%,0.73%,0.87%,1.71%,2.54%
544,BALLARD,61625,75.26%,19.17%,0.42%,0.82%,2.09%,2.23%
545,LANG,61529,81.36%,10.38%,3.31%,0.59%,1.84%,2.52%
546,BROCK,61369,83.03%,11.74%,0.46%,0.76%,1.98%,2.02%
547,VILLARREAL,61355,6.45%,0.23%,0.19%,0.15%,0.13%,92.85%
548,CHARLES,61211,33.69%,52.96%,1.01%,2.07%,2.37%,7.90%
549,DRAKE,61162,79.55%,14.92%,0.52%,0.62%,2.04%,2.34%
550,BARRERA,60998,5.01%,0.27%,1.14%,0.20%,0.21%,93.18%
551,CAIN,60948,77.21%,17.00%,0.75%,0.60%,2.11%,2.33%
552,PATRICK,60845,73.73%,20.35%,0.73%,1.03%,2.01%,2.15%
553,PINEDA,60820,3.29%,0.32%,5.28%,0.12%,0.32%,90.67%
554,BURNETT,60791,69.91%,24.06%,0.41%,0.74%,2.52%,2.36%
555,MERCADO,60761,5.24%,0.58%,6.85%,0.14%,0.63%,86.55%
556,SANTANA,60667,6.13%,1.31%,0.54%,0.11%,0.33%,91.59%
557,SHEPHERD,60479,78.64%,15.94%,0.54%,0.89%,1.95%,2.04%
558,BAUTISTA,60264,3.16%,0.27%,18.23%,0.28%,1.27%,76.80%
559,ALI,60002,17.33%,30.71%,42.91%,0.51%,5.66%,2.87%
560,SHAFFER,59943,93.08%,2.54%,0.55%,0.40%,1.50%,1.92%
561,LAMB,59913,86.10%,8.62%,0.70%,0.54%,1.73%,2.29%
562,TREVINO,59882,7.83%,0.29%,0.20%,0.40%,0.22%,91.06%
563,MCKENZIE,59595,64.64%,28.63%,0.69%,0.74%,2.28%,3.03%
564,HESS,59486,94.63%,0.93%,0.55%,0.53%,1.38%,1.98%
565,BEIL,59463,62.10%,32.08%,0.34%,0.87%,2.29%,2.33%
566,OLSEN,59356,93.69%,0.34%,0.77%,0.76%,1.79%,2.65%
567,COCHRAN,59350,85.29%,9.05%,0.50%,1.24%,1.67%,2.24%
568,MORTON,59213,74.00%,19.74%,0.66%,0.86%,2.29%,2.45%
569,NASH,58714,69.34%,24.62%,0.53%,0.80%,2.43%,2.29%
570,WILKINS,58634,63.09%,30.56%,0.43%,0.89%,2.36%,2.66%
571,PETERSEN,58480,93.42%,1.33%,0.76%,0.44%,1.55%,2.51%
572,BRIGGS,58408,75.92%,18.56%,0.51%,0.67%,2.10%,2.24%
573,SHAH,58287,3.59%,0.94%,91.74%,0.34%,2.70%,0.70%
574,ROTH,58278,94.86%,0.50%,0.90%,0.29%,1.19%,2.27%
575,NICHOLSON,58151,74.25%,19.89%,0.54%,0.62%,2.15%,2.54%
576,HOLLOWAY,58040,58.27%,36.07%,0.40%,0.61%,2.53%,2.12%
577,LOZANO,57779,5.96%,0.29%,1.55%,0.20%,0.26%,91.73%
578,RANGEL,57549,6.01%,0.29%,0.28%,0.22%,0.18%,93.02%
578,FLOWERS,57549,53.12%,40.28%,0.40%,0.63%,2.80%,2.77%
580,HOOVER,57497,92.03%,3.37%,0.59%,0.64%,1.50%,1.87%
581,SHORT,57477,84.12%,10.24%,0.59%,0.86%,2.01%,2.18%
581,ARIAS,57477,5.12%,0.40%,1.06%,0.14%,0.21%,93.07%
583,MORA,57464,7.38%,0.45%,1.07%,0.26%,0.26%,90.59%
584,VALENZUELA,57383,4.95%,0.21%,2.40%,1.67%,0.40%,90.36%
585,BRYAN,57143,81.33%,11.79%,0.64%,0.63%,1.77%,3.83%
586,MEYERS,57127,89.78%,4.64%,0.76%,0.62%,1.82%,2.38%
587,WEISS,57112,95.58%,0.38%,0.65%,0.20%,0.95%,2.24%
588,UNDERWOOD,57064,79.20%,15.03%,0.48%,1.09%,2.03%,2.17%
589,BASS,57044,69.18%,24.53%,0.49%,0.77%,2.31%,2.72%
590,GREER,57043,73.30%,21.33%,0.49%,0.45%,2.07%,2.36%
591,SUMMERS,56953,78.93%,14.80%,0.54%,1.10%,2.29%,2.34%
592,HOUSTON,56900,52.07%,41.49%,0.50%,0.63%,2.81%,2.51%
593,CARSON,56872,72.25%,21.67%,0.61%,0.78%,2.28%,2.41%
594,MORROW,56840,79.85%,14.72%,0.52%,0.72%,2.04%,2.15%
595,CLAYTON,56638,69.14%,25.47%,0.45%,0.53%,2.23%,2.18%
596,WHITAKER,56616,70.71%,24.33%,0.46%,0.45%,2.02%,2.03%
597,DECKER,56576,93.96%,0.90%,0.51%,0.58%,1.61%,2.45%
598,YODER,56410,97.77%,0.19%,0.23%,0.15%,0.73%,0.93%
599,COLLIER,56380,66.97%,27.39%,0.47%,0.60%,2.41%,2.15%
600,ZUNIGA,56347,4.45%,0.48%,0.75%,0.23%,0.16%,93.92%
601,CAREY,56322,80.90%,13.52%,0.60%,0.67%,2.05%,2.25%
602,WILCOX,56286,83.89%,10.42%,0.56%,0.78%,1.87%,2.48%
603,MELENDEZ,56230,4.96%,0.99%,0.48%,0.22%,0.26%,93.08%
604,POOLE,56226,72.56%,22.71%,0.48%,0.42%,1.97%,1.85%
605,ROBERSON,56180,51.34%,42.78%,0.38%,0.52%,2.74%,2.23%
606,LARSEN,55960,94.16%,0.51%,0.75%,0.70%,1.50%,2.37%
607,CONLEY,55917,79.78%,15.39%,0.42%,0.55%,2.02%,1.85%
608,DAVENPORT,55895,71.76%,22.32%,0.49%,0.69%,2.38%,2.36%
609,COPELAND,55850,65.85%,28.28%,0.46%,0.71%,2.39%,2.31%
610,MASSEY,55595,73.18%,20.42%,1.06%,1.07%,1.96%,2.32%
611,LAM,55554,6.84%,0.57%,87.99%,0.05%,1.99%,2.56%
612,HUFF,55484,81.37%,13.41%,0.52%,0.70%,1.88%,2.11%
613,ROCHA,55251,16.45%,0.83%,0.80%,0.34%,0.49%,81.08%
614,CAMERON,55240,75.52%,17.86%,0.66%,0.73%,2.09%,3.14%
615,JEFFERSON,55179,17.45%,74.24%,0.40%,1.90%,3.54%,2.47%
616,HOOD,55174,74.07%,20.16%,0.52%,1.00%,2.07%,2.18%
617,MONROE,55136,62.88%,29.27%,0.50%,1.53%,2.53%,3.28%
618,ANTHONY,55114,59.82%,31.93%,1.53%,0.62%,2.29%,3.82%
619,PITTMAN,55021,63.55%,31.31%,0.36%,0.65%,2.14%,1.99%
620,HUYNH,54996,0.82%,0.09%,96.68%,0.02%,1.72%,0.67%
621,RANDALL,54764,74.65%,19.07%,0.64%,1.16%,2.17%,2.30%
622,SINGLETON,54621,45.91%,48.62%,0.38%,0.41%,2.48%,2.20%
623,KIRK,54394,82.37%,10.56%,1.29%,1.38%,2.06%,2.34%
624,COMBS,54257,86.08%,9.13%,0.45%,0.57%,1.86%,1.91%
625,MATHIS,54217,61.94%,32.65%,0.29%,0.59%,2.20%,2.33%
626,CHRISTIAN,54198,66.41%,24.57%,2.33%,0.59%,2.49%,3.62%
627,SKINNER,54046,79.34%,15.03%,0.48%,0.66%,1.96%,2.53%
628,BRADFORD,54015,64.77%,29.10%,0.51%,0.64%,2.48%,2.50%
629,RICHARD,53893,70.35%,23.46%,0.90%,0.57%,1.97%,2.75%
630,GALVAN,53822,6.06%,0.27%,0.80%,0.38%,0.23%,92.26%
631,WALL,53794,86.10%,8.21%,0.75%,0.81%,1.81%,2.31%
632,BOONE,53792,62.39%,31.01%,0.52%,1.38%,2.36%,2.35%
633,KIRBY,53767,85.90%,9.16%,0.50%,0.73%,1.78%,1.93%
634,WILKINSON,53739,88.16%,6.52%,0.63%,0.61%,1.74%,2.36%
635,BRIDGES,53682,67.71%,27.05%,0.46%,0.52%,2.16%,2.10%
636,BRUCE,53419,77.35%,15.89%,0.74%,1.13%,2.20%,2.70%
637,ATKINSON,53376,79.31%,13.96%,0.55%,0.55%,1.73%,3.90%
638,VELEZ,53265,6.80%,0.92%,0.88%,0.07%,0.30%,91.03%
639,MEZA,53230,3.73%,0.26%,0.18%,0.18%,0.11%,95.53%
640,ROY,53159,75.20%,9.04%,9.69%,1.54%,1.96%,2.57%
641,VINCENT,53095,78.93%,13.95%,1.40%,0.63%,1.97%,3.12%
642,YORK,53059,85.81%,8.04%,0.90%,1.00%,1.97%,2.28%
643,HODGE,52920,68.67%,24.92%,0.43%,0.65%,2.43%,2.90%
644,VILLA,52817,8.08%,0.39%,2.06%,0.31%,0.42%,88.74%
645,ABBOTT,52739,89.50%,4.89%,0.65%,0.66%,1.78%,2.53%
646,ALLISON,52701,80.72%,13.10%,0.57%,1.34%,1.99%,2.28%
647,TAPIA,52651,4.85%,0.29%,0.71%,0.40%,0.22%,93.54%
648,GATES,52569,75.04%,19.13%,0.62%,0.76%,2.06%,2.38%
649,CHASE,52481,81.84%,11.39%,0.72%,1.47%,2.07%,2.50%
650,SOSA,52457,5.10%,0.52%,0.72%,0.18%,0.16%,93.31%
651,SWEENEY,52410,90.60%,4.76%,0.56%,0.39%,1.30%,2.38%
652,FARRELL,52321,89.88%,4.78%,0.73%,0.54%,1.41%,2.65%
653,WYATT,52211,75.71%,18.63%,0.42%,0.67%,2.07%,2.49%
654,DALTON,52184,86.84%,7.71%,0.57%,0.67%,1.87%,2.32%
655,HORN,52138,85.15%,8.65%,0.98%,1.18%,1.82%,2.22%
656,BARRON,52070,46.37%,8.83%,0.70%,0.39%,1.18%,42.52%
657,PHELPS,52044,85.10%,9.68%,0.52%,0.60%,1.82%,2.29%
658,YU,52035,1.46%,0.12%,96.10%,0.02%,1.61%,0.69%
659,DICKERSON,51889,62.97%,31.57%,0.43%,0.42%,2.52%,2.09%
660,HEATH,51877,80.30%,14.38%,0.51%,0.77%,1.80%,2.24%
661,FOLEY,51865,92.05%,3.31%,0.73%,0.30%,1.51%,2.10%
662,ATKINS,51671,67.62%,26.67%,0.50%,0.59%,2.40%,2.21%
663,MATHEWS,51592,74.63%,15.36%,4.24%,0.73%,2.21%,2.83%
664,BONILLA,51475,4.48%,0.70%,1.17%,0.17%,0.25%,93.23%
665,ACEVEDO,51351,5.11%,0.60%,0.42%,0.16%,0.17%,93.54%
666,BENITEZ,51288,3.76%,0.50%,1.59%,0.09%,0.19%,93.86%
667,ZAVALA,51153,3.29%,0.20%,0.18%,0.09%,0.12%,96.13%
668,HENSLEY,51081,92.83%,1.88%,0.47%,0.98%,1.79%,2.06%
669,GLENN,51043,61.41%,32.78%,0.48%,0.63%,2.39%,2.32%
670,CISNEROS,50920,4.58%,0.20%,0.20%,0.12%,0.17%,94.73%
671,HARRELL,50837,66.08%,28.84%,0.35%,0.51%,2.20%,2.01%
672,SHIELDS,50832,75.83%,18.50%,0.64%,0.95%,1.90%,2.18%
673,RUBIO,50788,5.35%,0.28%,1.80%,0.27%,0.25%,92.04%
674,HUFFMAN,50786,91.20%,4.31%,0.46%,0.47%,1.64%,1.91%
674,CHOI,50786,1.57%,0.31%,96.09%,0.01%,1.49%,0.54%
676,BOYER,50742,88.78%,5.45%,0.62%,0.61%,1.86%,2.68%
677,GARRISON,50686,83.09%,11.02%,0.50%,0.83%,2.09%,2.48%
678,ARROYO,50614,4.62%,0.63%,1.06%,0.13%,0.24%,93.31%
679,BOND,50610,75.91%,17.88%,0.58%,0.85%,2.34%,2.43%
